infinitive,accented_infinitive,stem,suffix,aspect,partners,conjugation_type,ru_verb_presfut_sg1,ru_verb_presfut_sg2,ru_verb_presfut_sg3,ru_verb_presfut_pl1,ru_verb_presfut_pl2,ru_verb_presfut_pl3,ru_verb_imperative_sg,ru_verb_imperative_pl,ru_verb_past_m,ru_verb_past_f,ru_verb_past_n,ru_verb_past_pl
рассказывать,расска'зывать,рассказыв,ать,imperfective,рассказать,е-conj,расска'зываю,расска'зываешь,расска'зывает,расска'зываем,расска'зываете,расска'зывают,расска'зывай,расска'зывайте,расска'зывал,расска'зывала,расска'зывало,расска'зывали
расстроиться,расстро'иться,расстро,иться,perfective,расстраиваться,и-conj,расстро'юсь,расстро'ишься,расстро'ится,расстро'имся,расстро'итесь,расстро'ятся,расстро'йся,расстро'йтесь,расстро'ился,расстро'илась,расстро'илось,расстро'ились
рекомендовать,рекомендова'ть,рекомендов,ать,both,порекомендовать,е-conj,рекоменду'ю,рекоменду'ешь,рекоменду'ет,рекоменду'ем,рекоменду'ете,рекоменду'ют,рекоменду'й,рекоменду'йте,рекомендова'л,рекомендова'ла,рекомендова'ло,рекомендова'ли
решить,реши'ть,реш,ить,perfective,решать,и-conj,решу',реши'шь,реши'т,реши'м,реши'те,реша'т,реши',реши'те,реши'л,реши'ла,реши'ло,реши'ли
родиться,роди'ться,род,иться,perfective,рождаться,и-conj,*рожу'сь,роди'шься,роди'тся,роди'мся,роди'тесь,родя'тся,роди'сь,роди'тесь,роди'лся,~родила'сь,роди'лось,~родили'сь
сдавать,сдава'ть,сдав,ать,imperfective,сдать,е-conj,сдаю',сдаёшь,сдаёт,сдаём,сдаёте,сдаю'т,сдава'й,сдава'йте,сдава'л,сдава'ла,сдава'ло,сдава'ли
сесть,се'сть,,,perfective,садиться,е-conj,*ся'ду,*ся'дешь,*ся'дет,*ся'дем,*ся'дете,*ся'дут,*сядь,*ся'дьте,*се'л,*се'ла,*се'ло,*се'ли
сидеть,сиде'ть,сид,еть,imperfective,посиде'ть,*и-conj,*сижу',сиди'шь,сиди'т,сиди'м,сиди'те,сидя'т,сиди',сиди'те,сиде'л,сиде'ла,сиде'ло,сиде'ли
синеть,сине'ть,син,еть,imperfective,посинеть,е-conj,сине'ю,сине'ешь,сине'ет,сине'ем,сине'ете,сине'ют,сине'й,сине'йте,сине'л,сине'ла,сине'ло,сине'ли
скачать,скача'ть,скач,ать,perfective,скачивать,е-conj,*скачáю,*скачáешь,*скачáет,*скачáем,*скачáете,*скачáют,*скачáй,*скачáйте,*скачáл,*скачáла,*скачáло,*скачáли
скопировать,скопи'ровать,скопиров,ать,perfective,копировать,е-conj,скопи'рую,скопи'руешь,скопи'рует,скопи'руем,скопи'руете,скопи'руют,скопи'руй,скопи'руйте,скопи'ровал,скопи'ровала,скопи'ровало,скопи'ровали
следовать,сле'довать,следов,ать,imperfective,последовать,е-conj,сле'дую,сле'дуешь,сле'дует,сле'дуем,сле'дуете,сле'дуют,сле'дуй,сле'дуйте,сле'довал,сле'довала,сле'довало,сле'довали
сломать,слома'ть,слом,ать,perfective,ломать,е-conj,слома'ю,слома'ешь,слома'ет,слома'ем,слома'ете,слома'ют,слома'й,слома'йте,слома'л,слома'ла,слома'ло,слома'ли
служить,служи'ть,служ,ить,imperfective,послужить,и-conj,служу',~слу'жишь,~слу'жит,~слу'жим,~слу'жите,~слу'жат,служи',служи'те,служи'л,служи'ла,служи'ло,служи'ли
слушать,слу'шать,слуш,ать,imperfective,послушать,е-conj,слу'шаю,слу'шаешь,слу'шает,слу'шаем,слу'шаете,слу'шают,слу'шай,слу'шайте,слу'шал,слу'шала,слу'шало,слу'шали
слышать,слы'шать,слыш,ать,imperfective,услышать,*и-conj,слы'шу,слы'шишь,слы'шит,слы'шим,слы'шите,слы'шат,слы'шь,слы'шьте,слы'шал,слы'шала,слы'шало,слы'шали
смеяться,смея'ться,сме,яться,imperfective,засмеяться;посмеяться;рассмея'ться,е-conj,*смею'сь,*смеёшься,*смеётся,*смеёмся,*смеётесь,*смею'тся,*сме'йся,*сме'йтесь,смея'лся,смея'лась,смея'лось,смея'лись
снизить,сни'зить,сниз,ить,perfective,снижать,и-conj,*сни'жу,сни'зишь,сни'зит,сни'зим,сни'зите,сни'зят,сни'зь,сни'зьте,сни'зил,сни'зила,сни'зило,сни'зили
собираться,собира'ться,собир,аться,imperfective,собраться,е-conj,собира'юсь,собира'ешься,собира'ется,собира'емся,собира'етесь,собира'ются,собира'йся,собира'йтесь,собира'лся,собира'лась,собира'лось,собира'лись
